date,additions,deletions,owner,repo
1630800000,10520,-808,maticnetwork,bor
1631404800,3949,-1454,maticnetwork,bor
1632009600,857,-131,maticnetwork,bor
1632614400,932,-291,maticnetwork,bor
1633219200,1502,-338,maticnetwork,bor
1633824000,2097,-844,maticnetwork,bor
1634428800,3751,-1051,maticnetwork,bor
1635033600,520,-24,maticnetwork,bor
1635638400,15,-6,maticnetwork,bor
1636243200,744,-270,maticnetwork,bor
1636848000,144,-37,maticnetwork,bor
1637452800,38,-12,maticnetwork,bor
1638057600,1529,-491,maticnetwork,bor
1638662400,1051,-115,maticnetwork,bor
1639267200,1086,-203,maticnetwork,bor
1639872000,161,-78,maticnetwork,bor
1640476800,10,-2,maticnetwork,bor
1641081600,215,-25,maticnetwork,bor
1641686400,21095,-14006,maticnetwork,bor
1642291200,6919,-6538,maticnetwork,bor
1642896000,365,-249,maticnetwork,bor
1643500800,598,-589,maticnetwork,bor
1644105600,1,-1,maticnetwork,bor
1644710400,96,-32,maticnetwork,bor
1645315200,95,-89,maticnetwork,bor
1645920000,0,0,maticnetwork,bor
1646524800,0,0,maticnetwork,bor
1647129600,124,-4,maticnetwork,bor
1647734400,754,-696,maticnetwork,bor
1648339200,1,-1,maticnetwork,bor
1648944000,14803,-3092,maticnetwork,bor
1649548800,40,-41,maticnetwork,bor
1650153600,746,-192,maticnetwork,bor
1650758400,55,-24,maticnetwork,bor
1651363200,34926,-16241,maticnetwork,bor
1651968000,627,-188,maticnetwork,bor
1652572800,776,-290,maticnetwork,bor
1653177600,372,-79,maticnetwork,bor
1653782400,37360,-37161,maticnetwork,bor
1654387200,9861,-7577,maticnetwork,bor
1654992000,1066,-89,maticnetwork,bor
1655596800,59,-13,maticnetwork,bor
1656201600,57,-59,maticnetwork,bor
1656806400,355,-219,maticnetwork,bor
1657411200,0,0,maticnetwork,bor
